
GD
Learning rate: 0.1
Epoch 1/1000, Loss: 2.3055472373962402, Eval loss: 2.305967092514038
Epoch 11/1000, Loss: 2.2979438304901123, Eval loss: 2.2977728843688965
Epoch 21/1000, Loss: 2.2889950275421143, Eval loss: 2.2879815101623535
Epoch 31/1000, Loss: 2.2755279541015625, Eval loss: 2.2732677459716797
Epoch 41/1000, Loss: 2.2543656826019287, Eval loss: 2.2504379749298096
Epoch 51/1000, Loss: 2.2225375175476074, Eval loss: 2.21675705909729
Epoch 61/1000, Loss: 2.1809637546539307, Eval loss: 2.1745994091033936
Epoch 71/1000, Loss: 2.253547430038452, Eval loss: 2.3435745239257812
Epoch 81/1000, Loss: 2.1923580169677734, Eval loss: 2.1620266437530518
Epoch 91/1000, Loss: 2.167849063873291, Eval loss: 2.1457178592681885
Epoch 101/1000, Loss: 2.146632194519043, Eval loss: 2.1303510665893555
Epoch 111/1000, Loss: 2.127668619155884, Eval loss: 2.115715503692627
Epoch 121/1000, Loss: 2.1105902194976807, Eval loss: 2.101661443710327
Epoch 131/1000, Loss: 2.0941321849823, Eval loss: 2.0878398418426514
Epoch 141/1000, Loss: 2.0795042514801025, Eval loss: 2.074554920196533
Epoch 151/1000, Loss: 2.0658888816833496, Eval loss: 2.061704397201538
Epoch 161/1000, Loss: 2.0524823665618896, Eval loss: 2.0490355491638184
Epoch 171/1000, Loss: 2.0404348373413086, Eval loss: 2.037139415740967
Epoch 181/1000, Loss: 2.028479814529419, Eval loss: 2.025453567504883
Epoch 191/1000, Loss: 2.017251968383789, Eval loss: 2.0121402740478516
Epoch 201/1000, Loss: 2.001504421234131, Eval loss: 2.0066096782684326
Epoch 211/1000, Loss: 2.0118589401245117, Eval loss: 1.999735951423645
Epoch 221/1000, Loss: 1.9985886812210083, Eval loss: 2.01513934135437
Epoch 231/1000, Loss: 1.9993352890014648, Eval loss: 2.0023040771484375
Epoch 241/1000, Loss: 1.9819506406784058, Eval loss: 1.983093500137329
Epoch 251/1000, Loss: 1.9791455268859863, Eval loss: 1.9678655862808228
Epoch 261/1000, Loss: 1.974783182144165, Eval loss: 2.00504207611084
Epoch 271/1000, Loss: 1.951927661895752, Eval loss: 1.9766805171966553
Epoch 281/1000, Loss: 1.9851963520050049, Eval loss: 1.9459776878356934
Epoch 291/1000, Loss: 1.9251949787139893, Eval loss: 1.9325437545776367
Epoch 301/1000, Loss: 1.9022189378738403, Eval loss: 1.9111450910568237
Epoch 311/1000, Loss: 1.9116547107696533, Eval loss: 1.9329839944839478
Epoch 321/1000, Loss: 1.894236445426941, Eval loss: 1.9137187004089355
