
GD
Learning rate: 0.01
Epoch 1/500, Loss: 2.3055472373962402, Eval loss: 2.306846857070923
Epoch 11/500, Loss: 2.3046417236328125, Eval loss: 2.3058342933654785
Epoch 21/500, Loss: 2.303849697113037, Eval loss: 2.304971694946289
Epoch 31/500, Loss: 2.303135871887207, Eval loss: 2.304176092147827
Epoch 41/500, Loss: 2.3023624420166016, Eval loss: 2.303307056427002
Epoch 51/500, Loss: 2.3014962673187256, Eval loss: 2.3023626804351807
Epoch 61/500, Loss: 2.3007113933563232, Eval loss: 2.3015146255493164
Epoch 71/500, Loss: 2.2999377250671387, Eval loss: 2.3006808757781982
Epoch 81/500, Loss: 2.2991485595703125, Eval loss: 2.299833059310913
Epoch 91/500, Loss: 2.2983388900756836, Eval loss: 2.298956871032715
Epoch 101/500, Loss: 2.297536611557007, Eval loss: 2.298095464706421
Epoch 111/500, Loss: 2.2967336177825928, Eval loss: 2.2972373962402344
Epoch 121/500, Loss: 2.295924186706543, Eval loss: 2.296376943588257
Epoch 131/500, Loss: 2.2950961589813232, Eval loss: 2.295502185821533
Epoch 141/500, Loss: 2.294236183166504, Eval loss: 2.2945897579193115
Epoch 151/500, Loss: 2.2933309078216553, Eval loss: 2.293621301651001
Epoch 161/500, Loss: 2.2923712730407715, Eval loss: 2.292598247528076
Epoch 171/500, Loss: 2.2913753986358643, Eval loss: 2.291538953781128
Epoch 181/500, Loss: 2.2903568744659424, Eval loss: 2.290452718734741
Epoch 191/500, Loss: 2.2893118858337402, Eval loss: 2.2893385887145996
Epoch 201/500, Loss: 2.2882304191589355, Eval loss: 2.288191318511963
Epoch 211/500, Loss: 2.2870960235595703, Eval loss: 2.2869954109191895
Epoch 221/500, Loss: 2.285896062850952, Eval loss: 2.2857325077056885
Epoch 231/500, Loss: 2.2846202850341797, Eval loss: 2.284390926361084
Epoch 241/500, Loss: 2.2832748889923096, Eval loss: 2.282989263534546
Epoch 251/500, Loss: 2.2818684577941895, Eval loss: 2.2815253734588623
Epoch 261/500, Loss: 2.2804009914398193, Eval loss: 2.2799947261810303
Epoch 271/500, Loss: 2.278867244720459, Eval loss: 2.278393268585205
Epoch 281/500, Loss: 2.27726411819458, Eval loss: 2.2767186164855957
Epoch 291/500, Loss: 2.275588035583496, Eval loss: 2.274970293045044
Epoch 301/500, Loss: 2.2738351821899414, Eval loss: 2.273143768310547
Epoch 311/500, Loss: 2.2720024585723877, Eval loss: 2.271235466003418
Epoch 321/500, Loss: 2.270083427429199, Eval loss: 2.269237995147705
Epoch 331/500, Loss: 2.2680766582489014, Eval loss: 2.2671470642089844
Epoch 341/500, Loss: 2.2659800052642822, Eval loss: 2.264965534210205
Epoch 351/500, Loss: 2.2637898921966553, Eval loss: 2.2626869678497314
Epoch 361/500, Loss: 2.2615017890930176, Eval loss: 2.2603068351745605
Epoch 371/500, Loss: 2.259113311767578, Eval loss: 2.2578275203704834
Epoch 381/500, Loss: 2.256619453430176, Eval loss: 2.255244255065918
Epoch 391/500, Loss: 2.254016399383545, Eval loss: 2.252556324005127
Epoch 401/500, Loss: 2.251302480697632, Eval loss: 2.249758243560791
Epoch 411/500, Loss: 2.2484724521636963, Eval loss: 2.246840715408325
Epoch 421/500, Loss: 2.2455244064331055, Eval loss: 2.2438035011291504
Epoch 431/500, Loss: 2.2424559593200684, Eval loss: 2.240642547607422
Epoch 441/500, Loss: 2.2392632961273193, Eval loss: 2.2373597621917725
Epoch 451/500, Loss: 2.2359447479248047, Eval loss: 2.233954668045044
Epoch 461/500, Loss: 2.232504367828369, Eval loss: 2.2304277420043945
Epoch 471/500, Loss: 2.228943347930908, Eval loss: 2.226785659790039
Epoch 481/500, Loss: 2.2252681255340576, Eval loss: 2.2230350971221924
Epoch 491/500, Loss: 2.2214815616607666, Eval loss: 2.2191884517669678
Accuracy: 16.76%
TRAJECTORY COMPUTED
500 500 500 500
test  (0.0, 0.0, 0)
